Replay Review #,Inning,Visit Score Pre-Play,Home Score Pre-Play,Score In Favor Of,Outs Pre-play,Runners Pre-play,Challenging Team,Calling Umpire,Play Type,Play Primary Subtype #1,Play Location,Call on the Field
1,B3,0,2,CHC,1,R1,MIL,"Blaser, Cory",Tag Play,Timing,1B,Safe
2,T8,0,4,CHC,1,R1,CHC,"Blaser, Cory",Force Play,Timing,1B,Safe
3,T3,4,0,PHI,0,Bases Empty,N/A,"Nelson, Jeff",Rules Check,Pitch Timer,RC,N/A
4,B8,5,4,PIT,1,R1,CIN,"Scheurwater, Stu",Tag Play,Timing,2B,Out
5,T8,0,1,HOU,0,Bases Empty,CWS,"Ortiz, Roberto",Tag Play,Timing,3B,Out
6,B2,1,1,Tied,0,Bases Empty,SD,"Conroy, Chris",Catcher's Interference,Bat Strikes Glove,HP,No Catcher's Interference
7,T8,7,2,COL,2,R1,COL,"Conroy, Chris",HP Collision Rule,Potential Catcher's Violation,HP,No Violation
8,T8,7,2,COL,2,R1,COL,"Conroy, Chris",Tag Play,Timing,HP,Out
9,B8,1,2,OAK,1,"R1, R3",LAA,"Wolcott, Quinn",Tag Play,Runner Maintaining Contact with Base,2B,Safe
10,T1,0,0,Tied,0,Bases Empty,NYM,"Rackley, David",Force Play,Timing,1B,Out
11,B3,1,0,CWS,1,R1,CWS,"Ortiz, Roberto",Tag Play,Timing,2B,Safe
12,B2,0,0,Tied,0,R1,AZ,"Blakney, Ryan",Tag Play,Timing,2B,Safe
13,T4,3,3,Tied,1,"R1, R2",CLE,"Miller, Brennan",Tag Play,Timing,2B,Out
14,T9,2,1,AZ,0,Bases Empty,AZ,"Tumpane, John",Tag Play,Tag / No Tag,1B,Out
15,T4,1,2,HOU,1,Bases Empty,HOU,"Ortiz, Roberto",Force Play,Fielder Comes Back Down on Base,1B,Safe
16,B4,3,2,CWS,2,R2,CWS,"Miller, Bill",Tag Play,Timing,2B,Safe
17,B6,0,3,STL,0,"R1, R3",TOR,"Barry, Scott",Tag Play,Timing,HP,Safe
18,T4,7,5,BAL,1,R1,BAL,"Barksdale, Lance",Tag Play,Timing,3B,Out
19,T7,4,2,NYM,0,Bases Empty,NYM,"Moscoso, Edwin",Force Play,Fielder Maintaining Contact with Base,1B,Out
20,B8,8,7,BAL,2,Bases Empty,N/A,"Little, Will",Hit by Pitch,HBP: Hand,HP,Hit by Pitch
21,T9,6,2,NYM,2,"R2, R3",N/A,"Guccione, Chris",Tag Play,Timing,3B,Out
22,T9,6,2,NYM,2,"R2, R3",N/A,"Rackley, David",Time Play,Attempt to Advance,HP,Run Does Not Score
23,T9,3,16,TEX,2,R1,N/A,"Nelson, Jeff",Potential Home Run,Fair / Foul (HR),LF,No Home Run
24,B9,8,7,BAL,2,R1,N/A,"Barksdale, Lance",Potential Home Run,Stadium Boundary (HR),LF,Home Run
25,B9,7,5,SF,1,"R1, R2, R3",NYY,"Estabrook, Mike",Force Play,Fielder Maintaining Contact with Base,2B,Out
26,B9,7,5,SF,1,"R1, R2, R3",NYY,"Bacchus, Erich",Force Play,Fielder Maintaining Contact with Base,1B,Out
27,B1,0,0,Tied,1,R1,COL,"Conroy, Chris",Force Play,Fielder Maintaining Contact with Base,2B,Safe
28,B1,0,0,Tied,0,Bases Empty,N/A,"Hudson, Marvin",Potential Home Run,Spectator Interference (HR),LF,No Home Run
29,B4,1,5,LAD,2,R1,AZ,"Hudson, Marvin",Tag Play,Timing,2B,Safe
30,T1,0,0,Tied,1,R1,KC,"Randazzo, Tony",Force Play,Timing,1B,Safe
31,B2,0,0,Tied,0,Bases Empty,CWS,"Ortiz, Roberto",Hit by Pitch,HBP: Hand / Knob of Bat,HP,Hit by Pitch
32,T6,0,4,NYY,0,Bases Empty,SF,"Estabrook, Mike",Force Play,Timing,1B,Out
33,B7,1,3,CIN,0,Bases Empty,CIN,"Wegner, Mark",Catch / No Catch,Maintaining Possession,LF,Catch
34,T8,0,6,NYY,2,Bases Empty,SF,"Bacchus, Erich",Hit by Pitch,HBP: Feet,HP,No Hit by Pitch
35,B7,4,9,STL,1,"R1, R3",TOR,"Beck, Adam",Force Play,Timing,1B,Safe
36,T4,0,0,Tied,1,R2,OAK,"Wolcott, Quinn",Hit by Pitch,"HBP: Arm, Torso, or Leg",HP,Hit by Pitch
37,T6,6,0,LAA,2,Bases Empty,LAA,"Valentine, Junior",Fair / Foul,Outfield Ground,RF,Foul Ball
38,T9,1,1,Tied,0,R2,AZ,"Blakney, Ryan",HP Collision Rule,Potential Catcher's Violation,HP,No Violation
39,T9,1,1,Tied,0,R2,AZ,"Blakney, Ryan",Tag Play,Tag / No Tag,HP,Out
40,B9,12,3,SF,1,Bases Empty,SF,"Hoye, James",Hit by Pitch,"HBP: Arm, Torso, or Leg",HP,Hit by Pitch
41,B9,12,3,SF,1,Bases Empty,N/A,"Hoye, James",Record Keeping,Count Check,RK,N/A
42,T4,2,0,DET,2,Bases Empty,DET,"Nelson, Jeff",Force Play,Timing,1B,Out
43,B5,4,0,DET,0,"R1, R3",HOU,"Bucknor, CB",Force Play,Fielder Comes Back Down on Base,2B,Out
44,T9,4,9,KC,0,Bases Empty,KC,"Gonzalez, Manny",Potential Home Run,Spectator Interference (HR),LF,Home Run
45,B5,4,2,COL,2,"R1, R2, R3",LAD,"Baker, Jordan",Potential Home Run,Fair / Foul (HR),RF,No Home Run
46,T8,7,8,OAK,0,R1,OAK,"Barrett, Lance",Tag Play,Tag / No Tag,2B,Safe
47,T6,1,5,SD,2,"R1, R2",SD,"Kulpa, Ron",Tag Play,Timing,HP,Safe
48,B5,2,2,Tied,2,Bases Empty,N/A,"Segal, Chris",Potential Home Run,Stadium Boundary (HR),LF,No Home Run
49,T8,3,1,TOR,1,"R1, R3",TOR,"Gonzalez, Manny",Force Play,Fielder Maintaining Contact with Base,2B,Out
50,B1,0,0,Tied,0,R1,WSH,"Vanover, Larry",Tag Play,Timing,2B,Out
51,T2,0,0,Tied,0,Bases Empty,TB,"Moscoso, Edwin",Force Play,Timing,1B,Out
52,B5,1,4,HOU,0,Bases Empty,DET,"Segal, Chris",Tag Play,Timing,1B,Safe
53,B7,4,1,PIT,2,"R1, R3",N/A,"Iassogna, Dan",Potential Home Run,Fair / Foul (HR),RF,No Home Run
54,B6,2,2,Tied,0,Bases Empty,TEX,"Blakney, Ryan",Force Play,Timing,1B,Out
55,T9,4,1,PIT,1,R1,BOS,"Barry, Scott",Hit by Pitch,HBP: Hand,HP,Hit by Pitch
56,B8,1,7,CWS,0,Bases Empty,CWS,"Libka, John",Tag Play,Timing,1B,Out
57,T10,6,4,CLE,2,R1,OAK,"Márquez, Alfonso",Tag Play,Tag / No Tag,2B,Safe
58,B2,4,0,SF,1,"R1, R2",SF,"Hoye, James",Tag Play,Timing,2B,Safe
59,B8,6,0,TOR,0,Bases Empty,N/A,"Carapazza, Vic",Potential Home Run,Fair / Foul (HR),LF,Home Run
60,T8,0,1,COL,0,Bases Empty,WSH,"Torres, Carlos",Force Play,Timing,1B,Out
61,T9,5,2,LAD,1,"R1, R2",LAD,"De Jesus, Ramon",Hit by Pitch,HBP: Helmet,HP,No Hit by Pitch
62,B5,1,2,PHI,2,R2,PHI,"Porter, Alan",Force Play,Timing,1B,Out
63,T4,1,0,HOU,1,Bases Empty,MIN,"Carlson, Mark",Tag Play,Timing,2B,Safe
64,B4,5,3,CWS,0,Bases Empty,PIT,"Estabrook, Mike",Force Play,Timing,1B,Out
65,B4,0,2,MIL,0,R1,STL,"Carapazza, Vic",Force Play,Fielder Touching a Base,2B,Safe
66,B4,1,2,LAA,1,"R1, R3",TOR,"Randazzo, Tony",Force Play,Foot Race,1B,Safe
67,T7,3,4,AZ,2,R1,AZ,"Eddings, Doug",Tag Play,Timing,1B,Safe
68,T4,0,0,Tied,0,Bases Empty,N/A,"Barry, Scott",Potential Home Run,Stadium Boundary (HR),CF,No Home Run
69,B3,1,0,CIN,2,"R2, R3",CIN,"Barber, Sean",Tag Play,Timing,3B,Safe
70,T9,2,0,CIN,2,R1,PHI,"Porter, Alan",Hit by Pitch,HBP: Hand / Knob of Bat,HP,Hit by Pitch
71,T8,3,2,SEA,1,R1,CLE,"Reyburn, D.J.",Tag Play,Timing,1B,Safe
72,B1,4,1,LAD,2,R2,LAD,"Barrett, Lance",Force Play,Timing,1B,Safe
73,T3,0,0,Tied,0,Bases Empty,COL,"Blaser, Cory",Catch / No Catch,Maintaining Possession,CF,No Catch
74,T9,8,12,AZ,1,R1,LAD,"Barrett, Lance",Force Play,Timing,1B,Out
75,T2,0,1,TB,2,R2,OAK,"Hudson, Marvin",Tag Play,Tag / No Tag,3B,Out
76,T2,0,1,PHI,0,R1,PHI,"Barber, Sean",Tag Play,Timing,2B,Safe
77,B4,1,1,Tied,0,Bases Empty,BOS,"Merzel, Dan",Force Play,Runner Touching a Base,1B,Safe
78,T5,2,1,BOS,0,R1,DET,"Merzel, Dan",Force Play,Attempt to Double Off / Return to Base (Lineout --> Appeal),1B,Safe
79,B6,0,1,PIT,1,"R1, R2",CWS,"Wills, Ryan",Force Play,Possession,2B,Safe
80,T5,1,3,BAL,1,R1,BAL,"Wegner, Mark",Force Play,Timing,1B,Safe
81,B6,1,4,BAL,2,"R1, R2",BAL,"Wegner, Mark",Force Play,Timing,1B,Out
82,T9,1,3,ATL,0,R1,N/A,"Wendelstedt, Hunter",Potential Home Run,Stadium Boundary (HR),LF,No Home Run
83,B3,0,2,TB,1,R1,TB,"Lentz, Nic",Force Play,Timing,2B,Out
84,B3,0,2,TB,1,R1,TB,"Fairchild, Chad",Force Play,Timing,1B,Out
85,B3,0,2,TB,2,R1,TB,"Lentz, Nic",Tag Play,Timing,2B,Out
86,T8,2,4,PIT,1,R1,PIT,"Ballou, Brock",Slide Rule,Slides Short of the Base,2B,No Violation
87,T8,2,4,PIT,1,R1,PIT,"Layne, Jerry",Force Play,Timing,1B,Safe
88,B7,4,6,ATL,0,"R1, R2, R3",CIN,"Blakney, Ryan",Slide Rule,Contact with Fielder,HP,No Violation
89,B7,4,6,ATL,0,"R1, R2, R3",CIN,"Hudson, Marvin",Force Play,Timing,1B,Safe
90,T7,3,4,TOR,2,R1,DET,"Estabrook, Mike",Tag Play,Timing,2B,Out
91,T7,2,3,TEX,1,R1,TEX,"Kulpa, Ron",Tag Play,Timing,2B,Safe
92,B9,4,1,SD,0,R1,NYM,"Little, Will",Hit by Pitch,"HBP: Arm, Torso, or Leg",HP,Hit by Pitch
93,B9,3,3,Tied,2,Bases Empty,MIN,"Muchlinski, Mike",Tag Play,Timing,3B,Out
94,B2,0,0,Tied,1,Bases Empty,WSH,"Eddings, Doug",Force Play,Fielder Touching a Base,1B,Safe
95,B6,8,14,CHC,2,R1,CHC,"Wolcott, Quinn",Tag Play,Timing,2B,Out
96,T6,0,2,SF,0,"R1, R2",LAD,"Knight, Brian",Catcher's Interference,Bat Strikes Glove,HP,No Catcher's Interference
97,B1,0,0,Tied,1,"R2, R3",CLE,"Rackley, David",Catch / No Catch,Trap Play,CF,Catch
98,B3,2,2,Tied,1,R1,SD,"Barksdale, Lance",Tag Play,Timing,2B,Safe
99,T7,5,0,HOU,1,"R1, R2",HOU,"Mahrley, Nick",Force Play,Timing,1B,Out
100,T9,5,1,SEA,2,R1,SEA,"Valentine, Junior",Tag Play,Timing,2B,Out
101,T7,0,5,AZ,0,Bases Empty,MIL,"Iassogna, Dan",Tag Play,Tag / No Tag,1B,Out
102,T7,3,5,AZ,0,"R1, R2",MIL,"Iassogna, Dan",Force Play,Timing,1B,Out
103,B1,0,0,Tied,1,"R1, R2",N/A,"Lentz, Nic",Potential Home Run,Spectator Interference (HR),RF,Home Run
104,T10,3,3,Tied,0,R2,TOR,"Bacchus, Erich",Tag Play,Timing,3B,Safe
105,T4,1,3,SF,0,R1,SF,"Tichenor, Todd",Tag Play,Timing,2B,Safe
106,T8,7,7,Tied,2,R1,BAL,"Moore, Malachi",Tag Play,Timing,1B,Safe
107,T1,0,0,Tied,0,R1,MIN,"Tomlinson, Nate",Force Play,Timing,2B,Out
108,T4,1,2,DET,0,Bases Empty,SF,"Wegner, Mark",Catch / No Catch,Trap Play,RF,Catch
109,T1,0,0,Tied,0,Bases Empty,STL,"Barksdale, Lance",Hit by Pitch,HBP: Feet,HP,Hit by Pitch
110,B6,1,3,WSH,1,R2,CLE,"Tumpane, John",Force Play,Fielder Maintaining Contact with Base,1B,Safe
111,T2,5,1,ATL,0,R1,ATL,"Gonzalez, Manny",Fair / Foul,Outfield Wall,LF,Foul Ball
112,T3,1,0,TEX,2,R2,N/A,"Bacchus, Erich",Potential Home Run,Stadium Boundary (HR),CF,No Home Run
113,T6,2,3,BOS,0,R1,BOS,"Kulpa, Ron",Hit by Pitch,HBP: Hand / Knob of Bat,HP,Hit by Pitch
114,B7,4,3,BAL,1,"R1, R2",CWS,"Knight, Brian",Force Play,Fielder Comes Back Down on Base,2B,Out
115,T9,4,4,Tied,2,R1,DET,"Scheurwater, Stu",Catch / No Catch,Transfer (OF),LF,No Catch
116,T8,3,5,SEA,1,R1,COL,"Hamari, Adam",Force Play,Timing,1B,Out
117,T5,6,1,SF,1,R1,SF,"Scheurwater, Stu",Force Play,Fielder Maintaining Contact with Base,2B,Out
118,T5,6,1,SF,1,R1,SF,"Dreckman, Bruce",Force Play,Timing,1B,Out
119,T4,1,0,AZ,1,Bases Empty,N/A,"Rehak, Jeremie",Potential Home Run,Fair / Foul (HR),LF,No Home Run
120,B4,1,0,AZ,1,Bases Empty,MIA,"Fairchild, Chad",Force Play,Timing,1B,Out
121,B1,0,0,Tied,0,Bases Empty,CLE,"Blakney, Ryan",Tag Play,Tag / No Tag,1B,Safe
122,B8,7,6,LAA,0,R1,LAA,"Blaser, Cory",Catcher's Interference,Bat Strikes Glove,HP,Catcher's Interference
123,T3,0,0,Tied,0,"R1, R3",HOU,"Wills, Ryan",Tag Play,Timing,1B,Safe
124,T8,5,4,CLE,1,"R1, R3",N/A,"Tumpane, John",HP Collision Rule,Potential Catcher's Violation,HP,No Violation
125,T8,5,4,CLE,1,"R1, R3",N/A,"Tumpane, John",Tag Play,Timing,HP,Out
126,T8,6,3,ATL,1,"R1, R2, R3",KC,"Valentine, Junior",Hit by Pitch,HBP: Hand / Knob of Bat,HP,Hit by Pitch
127,B5,1,0,CHC,1,R1,CHC,"Porter, Alan",Force Play,Foot Race,2B,Safe
128,B3,0,0,Tied,1,R1,MIN,"Hoye, James",Hit by Pitch,HBP: Feet,HP,Hit by Pitch
129,T5,3,1,TB,2,R1,TB,"Barrett, Lance",Tag Play,Timing,2B,Out
130,T5,3,1,ATL,1,R1,KC,"Gonzalez, Manny",Tag Play,Timing,1B,Safe
131,B8,6,5,CLE,1,"R2, R3",WSH,"Blakney, Ryan",HP Collision Rule,Potential Catcher's Violation,HP,No Violation
132,T7,3,3,Tied,0,R1,PIT,"Barksdale, Lance",Force Play,Timing,2B,Out
133,B9,3,3,Tied,2,R1,STL,"Barksdale, Lance",Force Play,Fielder Comes Back Down on Base,2B,Out
134,B8,13,3,PHI,2,Bases Empty,PHI,"Moscoso, Edwin",Tag Play,Runner Maintaining Contact with Base,2B,Safe
135,B5,0,0,Tied,1,R1,TEX,"Diaz, Laz",Tag Play,Runner Maintaining Contact with Base,2B,Safe
136,B1,0,0,Tied,0,Bases Empty,NYM,"Ripperger, Mark",Hit by Pitch,"HBP: Arm, Torso, or Leg",HP,Hit by Pitch
137,B2,2,0,ATL,2,"R1, R2",ATL,"Drake, Rob",Tag Play,Timing,3B,Safe
138,T4,6,1,CHC,2,"R1, R2",CHC,"Ballou, Brock",Fair / Foul,Outfield Ground,LF,Foul Ball
139,B8,13,1,PIT,0,R1,PIT,"Morales, Gabe",Hit by Pitch,HBP: Hand / Knob of Bat,HP,Hit by Pitch
140,T8,7,4,PHI,2,R1,PHI,"May, Ben",Tag Play,Timing,2B,Out
141,B4,2,4,MIA,1,Bases Empty,MIA,"Barrett, Lance",Catcher's Interference,Bat Strikes Glove,HP,No Catcher's Interference
142,T4,4,0,LAA,2,R3,NYY,"Merzel, Dan",Hit by Pitch,HBP: Hand / Knob of Bat,HP,Hit by Pitch
143,T1,0,0,Tied,2,R1,HOU,"O'Nora, Brian",Tag Play,Timing,2B,Safe
144,B2,0,1,STL,2,"R1, R2, R3",STL,"Johnson, Adrian",Force Play,Timing,2B,Out
145,T1,0,0,Tied,1,"R1, R2",OAK,"Hamari, Adam",Force Play,Timing,1B,Safe
146,B10,4,4,Tied,2,"R2, R3",MIN,"Gibson, Tripp",Fair / Foul,Spectator Interference,RF,Fair Ball
147,B8,4,0,TOR,1,Bases Empty,HOU,"MacKay, Alex",Force Play,Timing,1B,Out
148,T7,5,3,PIT,1,R1,PIT,"Iassogna, Dan",Tag Play,Timing,2B,Out
149,B9,8,7,AZ,1,Bases Empty,N/A,"Johnson, Adrian",Rules Check,OBR,RC,N/A
150,B9,5,3,PIT,0,Bases Empty,COL,"Iassogna, Dan",Force Play,Timing,1B,Out
151,T10,4,4,Tied,0,R2,SEA,"Porter, Alan",Tag Play,Tag / No Tag,3B,Safe
152,B2,0,0,Tied,0,R1,CLE,"Knight, Brian",Force Play,Timing,1B,Safe
153,T2,2,3,STL,1,Bases Empty,STL,"Johnson, Adrian",Force Play,Fielder Maintaining Contact with Base,1B,Safe
154,B7,8,0,TB,1,Bases Empty,CIN,"Wills, Ryan",Force Play,Timing,1B,Out
155,T7,9,3,TEX,2,R2,TEX,"Moore, Malachi",Tag Play,Timing,HP,Out
156,T5,0,2,HOU,1,R1,TOR,"Hoberg, Pat",Tag Play,Runner Maintaining Contact with Base,2B,Out
157,T2,0,4,PIT,1,R1,CIN,"Kulpa, Ron",Tag Play,Timing,2B,Out
158,T6,2,0,COL,1,"R1, R2",COL,"Knight, Brian",HP Collision Rule,Potential Catcher's Violation,HP,No Violation
159,T6,2,0,COL,1,"R1, R2",COL,"Knight, Brian",Tag Play,Timing,HP,Out
160,B1,0,0,Tied,1,R1,CHC,"Estabrook, Mike",Tag Play,Timing,2B,Out
161,T5,2,2,Tied,2,Bases Empty,CHC,"Fletcher, Andy",Force Play,Timing,1B,Safe
162,T9,7,5,SD,0,R1,SD,"Wolf, Jim",Tag Play,Timing,2B,Out
163,T1,0,0,Tied,1,Bases Empty,DET,"Carapazza, Vic",Force Play,Timing,1B,Out
164,T1,1,0,HOU,0,R2,HOU,"Nelson, Jeff",Hit by Pitch,HBP: Grazing Uniform,HP,No Hit by Pitch
165,T2,3,0,COL,0,R1,PHI,"Randazzo, Tony",Force Play,Timing,1B,Safe
166,T3,3,0,COL,1,Bases Empty,COL,"Randazzo, Tony",Force Play,Fielder Maintaining Contact with Base,1B,Out
167,T5,1,4,ATL,2,R1,HOU,"Segal, Chris",Tag Play,Tag / No Tag,2B,Out
168,B9,7,5,CWS,0,Bases Empty,N/A,"Scheurwater, Stu",Potential Home Run,Spectator Interference (HR),RF,Home Run
